Image Name,Gabor Features
0DB22O009-Q11@10.jpg,"[232.85629367236024, 38.499178795659454, 252.13870826863354, 17.59455241185936, 253.300174689441, 14.094516037993644, 253.50650232919256, 13.336704202800892, 253.5539596273292, 13.15534239853124, 236.09146933229815, 35.396191348933534, 252.5471176242236, 16.497848957501056, 253.400524068323, 13.791932239961442, 253.5540081521739, 13.207199507608888, 253.58967391304347, 13.066412573807197, 239.36997767857142, 32.18387869726516, 252.87356851708074, 15.438629322818587, 253.51271350931677, 13.345581852492895, 253.6266013198758, 12.915919524075301, 253.6527804736025, 12.811546454970983, 236.58237092391303, 34.226294086253624, 252.75701184006212, 15.614088949356468, 253.546268439441, 13.088955021249095, 253.6859714673913, 12.553401583690011, 253.71799786490683, 12.422638411327842, 233.85214479813664, 36.37511838388662, 252.52055027173913, 16.331167178052876, 253.49529309006212, 13.311424743393777, 253.6655910326087, 12.648239635130398, 253.7052600931677, 12.491085232967485, 236.4329144021739, 34.62390843947357, 252.63907220496895, 16.336054421480007, 253.43893148291926, 13.848356828986235, 253.58237092391303, 13.31229346090593, 253.61551339285714, 13.185127396089191, 239.13528726708074, 32.86942586347526, 252.70926339285714, 16.41881310858132, 253.37026882763976, 14.412959878079926, 253.48568517080744, 14.01639141560619, 253.51259219720498, 13.921993421596618, 235.7961471273292, 35.9787240699118, 252.39457977484471, 17.208862323719988, 253.29806385869566, 14.51697483510797, 253.4593604425466, 13.94747029460599, 253.49674883540374, 13.809327792212985]"
0DB22Q005-C11@10.jpg,"[251.02765916149067, 21.788469310822954, 254.0176873059006, 10.95808522694029, 254.4021011257764, 8.463096638225354, 254.4800320263975, 7.905242331934806, 254.4984229425466, 7.77447406883908, 251.73124514751552, 19.54709435123698, 254.15840935559007, 10.385224636665873, 254.42274844720498, 8.751477846382713, 254.4730201863354, 8.399816641164412, 254.48493303571428, 8.314457755572272, 252.43791246118013, 17.003355816868588, 254.29932550465838, 9.65133404088049, 254.4683132763975, 8.661411878796436, 254.49910229037266, 8.486793790176273, 254.5057987189441, 8.44573674064317, 252.0370487189441, 17.823229732976973, 254.32370923913044, 9.266765316159404, 254.52656735248448, 7.908834488380816, 254.56584821428572, 7.612776718768142, 254.575431871118, 7.539031269747845, 251.5052406832298, 19.233217499338334, 254.287242818323, 9.391094275711932, 254.53945069875778, 7.615017797037628, 254.58576766304347, 7.201211959842924, 254.59678280279502, 7.09843707749251, 251.95414402173913, 18.22511127545041, 254.28340935559007, 9.60726578606309, 254.49235733695653, 8.247828731196023, 254.5322204968944, 7.94882031802679, 254.5418041537267, 7.875911862202267, 252.2470157220497, 17.757434453787965, 254.25031541149067, 9.947194741603228, 254.4288383152174, 8.907153071762686, 254.46134996118013, 8.720570003734114, 254.46879852484471, 8.678260529378813, 251.58421486801242, 20.159643859511537, 254.11342682453417, 10.537257280415757, 254.39926242236024, 8.841381378998333, 254.45411975931677, 8.478489463959448, 254.4669788431677, 8.393461184702177]"
0DB22S004-C11@8.jpg,"[251.10161102484471, 17.810196165868323, 254.65309588509317, 5.772345448433807, 254.82111315993788, 4.255220542635248, 254.84816576086956, 3.9059940019578603, 254.85444972826087, 3.820938261014384, 251.59671001552795, 16.2646303837721, 254.6863354037267, 5.712163149282947, 254.8170855978261, 4.542453109113621, 254.8389945652174, 4.287103882971184, 254.84353163819875, 4.229633378149515, 252.14445846273293, 14.449496318707656, 254.7363887810559, 5.14895756223833, 254.83232239906832, 4.267746391359926, 254.84685559006212, 4.093065712819223, 254.8499611801242, 4.055952559274983, 251.69679250776397, 15.58046900952324, 254.72006017080744, 4.945608794406524, 254.8419788431677, 3.8082363651776796, 254.86085500776397, 3.5614714771602936, 254.8650524068323, 3.501065379274627, 251.24128979037266, 16.902510481129767, 254.689586568323, 4.933664606734537, 254.84712247670808, 3.523021140756005, 254.87019604037266, 3.2156251747309117, 254.87538819875778, 3.1392454569120134, 251.70040760869566, 15.49532418669017, 254.73005628881987, 4.5510886560147465, 254.85842876552795, 3.3286329706926954, 254.87752329192546, 3.0586184743290845, 254.8818420031056, 2.9967331889546527, 252.1594283773292, 14.167955519748885, 254.7653823757764, 4.304335167234814, 254.86747864906832, 3.281101809657247, 254.88298233695653, 3.0776719813213327, 254.88630628881987, 3.02945247205015, 251.60554153726707, 15.944510312974725, 254.7194778726708, 4.908960098230234, 254.85068905279502, 3.6448413556868977, 254.8718216226708, 3.3787355449602443, 254.8765285326087, 3.311641653493049]"
0DB22S005-Q11@8.jpg,"[241.75730298913044, 39.677135360364716, 250.0777610636646, 23.54800902480282, 251.70484763198758, 19.050345804163978, 252.07375776397515, 17.950757955857153, 252.161975931677, 17.68107891088202, 243.23874223602485, 37.09673856081835, 250.6686966226708, 21.500646077374757, 252.05854522515529, 17.589796879159515, 252.3675514363354, 16.673296322282948, 252.4410423136646, 16.45504794267005, 244.6163383152174, 34.52323633432693, 251.1828658773292, 19.897071578308633, 252.3301873059006, 16.637522341796192, 252.5753105590062, 15.909980530899944, 252.63383152173913, 15.731962911810196, 243.56752232142858, 36.00940992300748, 250.9446331521739, 20.603456453217145, 252.24148388975155, 16.856963208977366, 252.5257666925466, 15.977192713653805, 252.5944293478261, 15.76427560990677, 242.3309394409938, 37.89205448047111, 250.52586374223603, 22.03586835389783, 252.01547942546583, 17.81350188157575, 252.34687985248448, 16.787348317622858, 252.42794060559007, 16.53171798466277, 243.22304444875778, 36.97280643884436, 250.62985248447205, 22.174917715224943, 251.9367721273292, 18.67263102413387, 252.2191139363354, 17.864675941575314, 252.28666052018633, 17.66951375868097, 244.0914450698758, 36.11372581638622, 250.7269992236025, 22.272872448987837, 251.864494371118, 19.404349515281037, 252.10360054347825, 18.798077353585022, 252.16069002329192, 18.654088771666043, 242.7953464673913, 38.29715381310596, 250.311893439441, 23.335341857073164, 251.68672360248448, 19.73916614509662, 251.98789305124222, 18.904163691053018, 252.0609714673913, 18.700728337703826]"
0DB22S008-Q11@8.jpg,"[232.01853649068323, 43.318169918212256, 249.6195166925466, 25.590187713649737, 251.2555560947205, 21.33189441251904, 251.60602678571428, 20.285198842850985, 251.68965935559007, 20.026738381821698, 234.68422457298138, 41.22843085591388, 249.98660714285714, 24.658747510438392, 251.38429250776397, 21.063336966945023, 251.6746894409938, 20.210582368034473, 251.7437160326087, 20.003328450018024, 237.58998932453417, 38.58878010082616, 250.48636451863354, 23.261074768800665, 251.62422360248448, 20.354294660361226, 251.8502038043478, 19.70772903242015, 251.9031929347826, 19.550988777179942, 234.94453610248448, 40.121253649509086, 250.3715789984472, 23.338163851831435, 251.68364227484471, 19.972366640976677, 251.94832104037266, 19.1797856377807, 252.01072399068323, 18.98787082969263, 232.4584384704969, 41.92453580393336, 250.14955357142858, 23.84006203100815, 251.65384802018633, 19.994466461852344, 251.96212635869566, 19.06330748674502, 252.03515625, 18.833388623472526, 235.01773583074535, 39.99797040752647, 250.4248107531056, 23.374978715760246, 251.69540954968943, 20.071828612513766, 251.95974864130434, 19.295423780203073, 252.0232434006211, 19.103794451933332, 237.73905764751552, 38.298515188571464, 250.57480104813664, 23.16355763854087, 251.6729668090062, 20.301937004817507, 251.89494371118013, 19.65508404610393, 251.9468410326087, 19.503353231793856, 234.83974670031057, 40.90086239454513, 250.08125485248448, 24.394317117428304, 251.4515479425466, 20.83627393656599, 251.74070749223603, 19.999740354589793, 251.81031638198758, 19.791813056644333]"
10K22S00B-A11@7.jpg,"[254.10146545031057, 9.978253809895369, 254.7580065993789, 4.603194667899412, 254.86410617236024, 3.212266991752876, 254.88633055124222, 2.872815377422383, 254.89164402173913, 2.7895852321966097, 254.2228503493789, 9.122620137018108, 254.80597340838509, 3.8227079553466448, 254.8961083074534, 2.5672304077605435, 254.91401397515529, 2.2767094880490126, 254.91806579968943, 2.204587807317619, 254.3150475543478, 8.416602121579201, 254.83331715838509, 3.4691019450956553, 254.9073418090062, 2.3991859505194064, 254.9207104037267, 2.1559722320829833, 254.92391304347825, 2.096732610134467, 254.21428571428572, 9.1286385429691, 254.806774068323, 3.93612611802103, 254.89229910714286, 2.706176598673066, 254.90916149068323, 2.4172740464282625, 254.91316479037266, 2.344443307314915, 254.07174398291926, 10.130487036233133, 254.74934491459626, 4.92868267445678, 254.85163528726707, 3.57891211704322, 254.8729862189441, 3.241328923515118, 254.8781783773292, 3.1571611117787626, 254.1008831521739, 10.288020927673166, 254.72372379658384, 5.52464183303669, 254.81766789596273, 4.416124305096149, 254.83790275621118, 4.156167626075798, 254.84260966614906, 4.095076651071615, 254.178474378882, 9.966957178868556, 254.73049301242236, 5.498800680005544, 254.81264557453417, 4.596598546211618, 254.8292895962733, 4.406917958487777, 254.83302600931677, 4.3622676446093385, 254.1266498447205, 10.058682254590801, 254.73922748447205, 5.16736865165451, 254.83157026397515, 4.07432512360544, 254.85102872670808, 3.819088329081149, 254.85556579968943, 3.758147151427236]"
10K22S00B-K11@9.jpg,"[252.97658676242236, 12.671678595491958, 254.89426436335404, 2.7347704531943466, 254.95705551242236, 1.7171663953652792, 254.96549883540374, 1.4961854588938752, 254.96736704192546, 1.4464186995241113, 253.56009802018633, 10.196826953543747, 254.9117333074534, 2.5954735712986694, 254.9561820652174, 1.8023776621559064, 254.9632424301242, 1.6440394429766696, 254.96486801242236, 1.6040449591661965, 253.9590450310559, 8.623870307031893, 254.91796875, 2.4921832978057505, 254.95579386645963, 1.9002789745485917, 254.96139848602485, 1.8098649255939585, 254.96236898291926, 1.788226532548029, 253.4991508152174, 10.592187608406501, 254.907463121118, 2.5196099318456966, 254.96040372670808, 1.6835153876954108, 254.9680706521739, 1.5312161786277927, 254.96969623447205, 1.4978241092430076, 252.81009802018633, 13.303657465178354, 254.83622864906832, 3.305870341028934, 254.94497282608697, 1.8344290684094477, 254.959117818323, 1.5600688658406803, 254.96219914596273, 1.49384985851386, 253.00228066770185, 13.169443558250991, 254.7920467779503, 3.9042133912394656, 254.90586180124222, 2.5073298204917505, 254.92512616459626, 2.2264715028203965, 254.92937208850933, 2.1635916296852167, 253.35481366459626, 11.983147219280239, 254.7963897515528, 3.8770509711876238, 254.89186238354037, 2.7873096831679085, 254.90739033385094, 2.609070217836061, 254.91102969720498, 2.5668883132813383, 253.14632666925465, 12.380971040343626, 254.8296535326087, 3.388176621063216, 254.93070652173913, 2.1982052703887596, 254.94477872670808, 1.9944624205536847, 254.9476416925466, 1.946993937678004]"
10K22S00B-L11@12.jpg,"[248.72738742236024, 23.23863349867238, 254.5380920031056, 3.7464210261942776, 254.95693420031057, 1.054886383715935, 254.97927989130434, 0.7407606528410535, 254.98287072981367, 0.6819173880520486, 249.22037558229815, 21.6614282092365, 254.699825310559, 2.9200254934721164, 254.9668575310559, 1.0253569787616146, 254.97918284161491, 0.8092556294935986, 254.98109957298138, 0.7629936253375373, 249.74616653726707, 20.044979503061757, 254.79624417701862, 2.4614696714530475, 254.96474670031057, 1.1915668445047967, 254.97207395186336, 1.0727476349635743, 254.97345690993788, 1.051550747081055, 249.22964382763976, 21.8237984524005, 254.64914111024845, 3.2590251448972234, 254.96164111024845, 1.092152833359662, 254.9781395574534, 0.8565505001168497, 254.9807113742236, 0.8085586671171835, 248.7511645962733, 23.483592846080555, 254.4200310559006, 4.727149655500147, 254.9147418478261, 1.6132999939469586, 254.95426533385094, 1.1128439841996611, 254.96173815993788, 1.0037132760909724, 249.1732094332298, 22.2532757081343, 254.50327542701862, 4.556046438235045, 254.89504076086956, 1.9711251836953885, 254.93148291925465, 1.5218908249076415, 254.93864033385094, 1.4158751981632425, 249.67398583074535, 20.54178367246203, 254.63914499223603, 3.746310307848034, 254.91071428571428, 1.792216423088245, 254.93686917701862, 1.4839963238673497, 254.94215838509317, 1.4220673210496724, 249.17682453416148, 21.916036986268697, 254.59615197981367, 3.697907297882741, 254.9366508152174, 1.4061063183889992, 254.96287849378882, 1.0852761147880332, 254.96746409161491, 1.0178598422446858]"
10K42G00N-C11@10.jpg,"[254.98170613354037, 1.1419339562938455, 255.0, 0.0, 255.0, 0.0, 255.0, 0.0, 255.0, 0.0, 254.98607336956522, 0.8519593744262737, 255.0, 0.0, 255.0, 0.0, 255.0, 0.0, 255.0, 0.0, 254.99002814440993, 0.6595442231438513, 255.0, 0.0, 255.0, 0.0, 255.0, 0.0, 255.0, 0.0, 254.99235733695653, 0.5822447442322479, 255.0, 0.0, 255.0, 0.0, 255.0, 0.0, 255.0, 0.0, 254.9944439052795, 0.511791465379269, 255.0, 0.0, 255.0, 0.0, 255.0, 0.0, 255.0, 0.0, 254.9956085015528, 0.422755225005367, 255.0, 0.0, 255.0, 0.0, 255.0, 0.0, 255.0, 0.0, 254.98697107919256, 0.8057682709931951, 255.0, 0.0, 255.0, 0.0, 255.0, 0.0, 255.0, 0.0, 254.98075989906832, 1.1466572929162953, 255.0, 0.0, 255.0, 0.0, 255.0, 0.0, 255.0, 0.0]"
10K42G00N-K12@12.1.jpg,"[248.51181579968943, 20.90193700677822, 254.5286781832298, 6.38302172812238, 254.75655085403727, 4.489579980178901, 254.79435170807454, 4.045910721041287, 254.80323175465838, 3.9339652178514406, 249.66500873447205, 18.751419314550418, 254.59896642080744, 5.541496120186049, 254.798088121118, 3.7634324943793263, 254.83125485248448, 3.3762340217926927, 254.83870341614906, 3.281588086363028, 250.7116168478261, 16.66624259462101, 254.66886645962734, 4.850808670258898, 254.8245826863354, 3.4475457841439265, 254.84937888198758, 3.1819764897455105, 254.85529891304347, 3.122945763938581, 249.5509753493789, 18.77302862527271, 254.65525524068323, 4.972113913917632, 254.835330939441, 3.366086224164057, 254.8635238742236, 3.0256943541188166, 254.87014751552795, 2.9445865257165926, 248.40290178571428, 20.843657555496822, 254.58009025621118, 5.7232483073431295, 254.8030861801242, 3.8995908999114723, 254.83780570652175, 3.5071215091291927, 254.84537558229815, 3.4136971577443673, 249.45749223602485, 19.19477483530871, 254.56051048136646, 6.239885229248322, 254.75007278726707, 4.7334638297737675, 254.78110442546583, 4.4094284330660525, 254.78780085403727, 4.327302399487951, 250.58084239130434, 17.39190121023363, 254.55781735248448, 6.573510471409234, 254.70931191770185, 5.308774877033403, 254.7357822204969, 5.043975550415882, 254.74155667701862, 4.9792247487431, 249.55866653726707, 19.118817090318565, 254.52627620341616, 6.751436798700579, 254.71603260869566, 5.205115468393506, 254.74885966614906, 4.847833623239753, 254.75669642857142, 4.755289204855951]"
10K42G00R-A11@10.jpg,"[253.82637810559007, 8.947013355548618, 254.94451184006212, 1.7846645692302279, 254.98524844720498, 0.7159220808521177, 254.9914596273292, 0.48799131628294673, 254.99296389751552, 0.4308207854345576, 254.08455454192546, 7.742752834318865, 254.96062208850933, 1.4992322185016784, 254.9877960015528, 0.7653207008534527, 254.9917022515528, 0.6168954768502397, 254.99247864906832, 0.583391133798285, 254.22767857142858, 7.29154450847308, 254.9627814440994, 1.32852085108495, 254.98908190993788, 0.6578532777610434, 254.99201766304347, 0.5452713023498281, 254.99259996118013, 0.5199518599163131, 253.7844283773292, 9.751853281486332, 254.93800951086956, 1.8613413893659292, 254.98371991459626, 0.8574390752849197, 254.98922748447205, 0.671724298841825, 254.99024650621118, 0.6321424011420562, 253.29192546583852, 12.063492131658798, 254.86184976708074, 3.2358948445246756, 254.95552697981367, 1.6044408431316644, 254.97093361801242, 1.2601796145653612, 254.97408773291926, 1.1825998697489628, 253.7377960015528, 10.500290407230635, 254.87034161490683, 3.2004596852583305, 254.9443905279503, 1.868392492457892, 254.95773486024845, 1.577239286429752, 254.96091323757764, 1.5101239552091428, 254.18944099378882, 8.136051437581099, 254.9232336956522, 2.2154060259877006, 254.96445555124222, 1.4150619131115445, 254.97086083074535, 1.2730598502889143, 254.97214673913044, 1.2425049408984532, 254.0974136257764, 8.124602660334112, 254.93832492236024, 1.8904463524538866, 254.97707201086956, 1.0076538066024447, 254.98311335403727, 0.8290427557596594, 254.98454483695653, 0.7834658802084667]"
10K42G00R-C11@10.jpg,"[253.80184879658384, 9.039867459536586, 254.92105007763976, 2.3267048247331092, 254.96896836180125, 1.3274466027237688, 254.97602872670808, 1.1215690909983433, 254.97767857142858, 1.0709436176043068, 254.09474475931677, 7.745968292555661, 254.9398049301242, 2.092459890565351, 254.9694293478261, 1.3826849837971802, 254.97413625776397, 1.2283492729687129, 254.97513101708074, 1.1921544661939585, 254.37233113354037, 6.417650922448203, 254.9511112189441, 1.9253242012565084, 254.96981754658384, 1.399212055640116, 254.9733841226708, 1.2796351395673737, 254.9740634704969, 1.2571734563028147, 254.0944293478261, 7.689676573181248, 254.9505774456522, 2.0010086151468522, 254.9708123059006, 1.4599157571429096, 254.97408773291926, 1.3307782065994609, 254.97481560559007, 1.3003435347591825, 253.78389460403727, 9.113751454664593, 254.9368206521739, 2.20188527009903, 254.96957492236024, 1.4811497279188115, 254.97433035714286, 1.324423083541734, 254.97532511645963, 1.287951679004869, 254.09108113354037, 8.011801153355082, 254.93728163819875, 2.209153438504656, 254.9650378493789, 1.524313016186594, 254.97013295807454, 1.3680675898154728, 254.9712975543478, 1.3277000371159455, 254.35279988354037, 6.929402443804137, 254.9400718167702, 2.187893583644248, 254.96244177018633, 1.6081141593679225, 254.96659064440993, 1.4819615703569908, 254.9675854037267, 1.4537437455753235, 254.1036975931677, 7.976103425008875, 254.92578125, 2.2766066440253763, 254.96564440993788, 1.4461523337164282, 254.97175854037266, 1.2792874013926052, 254.97321428571428, 1.2373038124357203]"
10K42G00R-G11@10.jpg,"[254.85551727484471, 3.557462131226849, 254.99771933229815, 0.2557465331887483, 255.0, 0.0, 255.0, 0.0, 255.0, 0.0, 254.91488742236024, 2.459510163332824, 254.99849572981367, 0.23989206533296553, 254.99953901397515, 0.09358697539687125, 254.99970885093168, 0.059107563408550265, 254.9997573757764, 0.04925630284045857, 254.9520331909938, 1.8041355616124735, 254.99740392080744, 0.3582816449120727, 254.99851999223603, 0.25993971580024183, 254.99868982919256, 0.2563219132341363, 254.99873835403727, 0.25613277477038443, 254.91692546583852, 2.3811090969780744, 254.99733113354037, 0.39070710083450483, 254.99898097826087, 0.15213583577307552, 254.99944196428572, 0.08602166829361867, 254.9995632763975, 0.0686055333802109, 254.86747864906832, 3.2151144003091385, 254.99944196428572, 0.08197792135648721, 255.0, 0.0, 255.0, 0.0, 255.0, 0.0, 254.9030230978261, 2.666301921860929, 254.99910229037266, 0.12254645469542882, 255.0, 0.0, 255.0, 0.0, 255.0, 0.0, 254.9207831909938, 2.5236476545742184, 254.99592391304347, 0.3997195256423173, 254.99881114130434, 0.1948570696915834, 254.9990295031056, 0.16616165256081405, 254.9990780279503, 0.16036619864984936, 254.88186626552795, 3.178935969879442, 254.99257569875778, 0.5815178823156928, 254.99861704192546, 0.17055419032349212, 254.9993206521739, 0.09973530796178981, 254.99944196428572, 0.0819779213564872]"
10K42G00R-N11@10.jpg,"[254.81220885093168, 3.946324702980006, 254.98932453416148, 0.7331720902572849, 254.99796195652175, 0.26879237371547693, 254.99876261645963, 0.1907035395580964, 254.99898097826087, 0.17581037421509485, 254.83261354813664, 3.6022127297783677, 254.99136257763976, 0.6946257810363162, 254.99691867236024, 0.3797131568788906, 254.99779211956522, 0.327208183179703, 254.9979376940994, 0.3138876297329049, 254.87305900621118, 3.064673319037265, 254.99131405279502, 0.6709232919178784, 254.99458947981367, 0.512077386303319, 254.9947350543478, 0.5036709550573646, 254.9947350543478, 0.5046334589212329, 254.86228649068323, 3.140869403599849, 254.99480784161491, 0.4992931940906237, 254.99888392857142, 0.21695127048129567, 254.99910229037266, 0.18224832050969667, 254.99912655279502, 0.17732269022565078, 254.81638198757764, 3.6605081805399338, 254.99813179347825, 0.1678248556222843, 255.0, 0.0, 255.0, 0.0, 255.0, 0.0, 254.85546875, 3.201562222326096, 254.99361898291926, 0.529307092772735, 254.99735539596273, 0.3346828500338091, 254.9978649068323, 0.29717109342678266, 254.99801048136646, 0.28931194057360293, 254.8880531832298, 2.808401419194385, 254.98772321428572, 0.8026575972484931, 254.9923088121118, 0.598315478990018, 254.9930366847826, 0.5823782613214686, 254.9931579968944, 0.5819420960392636, 254.8592536878882, 3.283483344665425, 254.98748059006212, 0.8059720436728937, 254.9944924301242, 0.4586383444063282, 254.99551145186336, 0.386161835483612, 254.9957298136646, 0.37022216552235854]"
10K42G00R-Q11@10.jpg,"[233.7906395574534, 36.06045918365214, 252.78622379658384, 14.649811578200534, 253.7659889363354, 11.351254525875675, 253.9267517468944, 10.626148393733876, 253.96346079192546, 10.44941574912562, 236.62434491459626, 33.534113244204526, 253.09610345496895, 13.223675521162281, 253.89217779503105, 10.312845653581757, 254.0274650621118, 9.677456612034828, 254.05813276397515, 9.526051127558482, 239.61439732142858, 30.792053967770517, 253.3490634704969, 12.24789148716843, 253.96297554347825, 9.864234516182204, 254.06553280279502, 9.37019545093454, 254.08914013975155, 9.253210606052212, 236.8099281832298, 33.315068705147425, 253.14681191770185, 12.957061719229165, 253.92299107142858, 10.074465048946063, 254.05490586180125, 9.447905892727263, 254.08598602484471, 9.297810157085163, 234.01761451863354, 35.90928686359163, 252.82967779503105, 14.260295753922907, 253.80002911490683, 10.918107075448267, 253.96595982142858, 10.200947381747781, 254.00279017857142, 10.026414404443099, 236.71780376552795, 33.795719972515975, 252.9283288043478, 14.536051211507363, 253.70991847826087, 11.823833238284882, 253.8508831521739, 11.230028347302706, 253.88247282608697, 11.090095352408104, 239.51203416149067, 31.527483124021796, 253.03831036490683, 14.501409250240448, 253.67512616459626, 12.264728773923311, 253.7853988742236, 11.79861717992275, 253.81051048136646, 11.687889320395117, 236.5491799301242, 33.95941625606196, 252.89096467391303, 14.852785943142804, 253.68325407608697, 12.144861791868921, 253.82021545031057, 11.555059714262192, 253.85158676242236, 11.41168232571989]"
